"Story","Act","Storyline_no","Storyline",,"Role","Agent",,
1,1,1,"1789 France suffered a deep financial crisis. King Louis XVI of France called the Estates-General. They discuss possible solutions. It came to disputes on the voting system. The National Assembly was formed. Soon later the French Revolution took place. The conventions opend on May 5th 1789 with great festivities.",1789,1,"HeScM1797","Scene:  1#   1789 France suffered a deep financial crisis. King Louis XVI of France called the Estates-General. They discuss possible solutions. It came to disputes on the voting system. The National Assembly was formed. Soon later the French Revolution took place. The conventions opend on May 5th 1789 with great festivities.","Year:  1789  - - -  Character: HeScM1797"
1,1,2,"The same day, Heinrich Weiss was born in Fehraltorf, Canton Zürich, Switzerland, into a decent teacher's family.",1789,5,"WeH1789","Scene:  2#   The same day, Heinrich Weiss was born in Fehraltorf, Canton Zürich, Switzerland, into a decent teacher's family.","Year:  1789  - - -  Character: WeH1789"
1,1,3,"1795 one year earlier the Treaty of Basel signed peace between France and Prussia. 1796France had occupied the Prussian Rhine land and the Revolt in the Vendée had just ended. The Battle of Lodi had significantly contributed to the myth of Napoleon who would set up the Cisalpine Republic in the same year seizing the Valtellina from Graubünden (the ""Grey Leagues"") and causing tensions in the Italian speaking Switzerland after an unsuccessful trial to invade Lugano in today's Canton Ticino.",1795,1,"HeScM1797","Scene:  3#   1795 one year earlier the Treaty of Basel signed peace between France and Prussia. 1796France had occupied the Prussian Rhine land and the Revolt in the Vendée had just ended. The Battle of Lodi had significantly contributed to the myth of Napoleon who would set up the Cisalpine Republic in the same year seizing the Valtellina from Graubünden (the ""Grey Leagues"") and causing tensions in the Italian speaking Switzerland after an unsuccessful trial to invade Lugano in today's Canton Ticino.","Year:  1795  - - -  Character: HeScM1797"
1,1,4,"1790 Katharina Kaufmann was born in Horw, on May 23.",1790,2,"MoKaK1790","Scene:  4#   1790 Katharina Kaufmann was born in Horw, on May 23.","Year:  1790  - - -  Character: MoKaK1790"
1,1,5,"1797 Meta (actually Anna Margaretha Barbara) Schweizer was born in Hirzel, in the Canton Zürich on the border with the Canton Zug.",1797,1,"HeScM1797","Scene:  5#   1797 Meta (actually Anna Margaretha Barbara) Schweizer was born in Hirzel, in the Canton Zürich on the border with the Canton Zug.","Year:  1797  - - -  Character: HeScM1797"
1,1,6,"1798, March 5th, the French finally invaded Switzerland helped by Swiss nationals (de La Harpe) who hoped to end with the feudal system of the Old Swiss Confederation, then converted into the Helvetic Republic subject to France. The French had taken the independence of the Swiss Cantons away and formed a centralized state, whose ""progressive"" ideas included such controversial measurements like the limitation of the freedom of worship.",1798,1,"HeScM1797","Scene:  6#   1798, March 5th, the French finally invaded Switzerland helped by Swiss nationals (de La Harpe) who hoped to end with the feudal system of the Old Swiss Confederation, then converted into the Helvetic Republic subject to France. The French had taken the independence of the Swiss Cantons away and formed a centralized state, whose ""progressive"" ideas included such controversial measurements like the limitation of the freedom of worship.","Year:  1798  - - -  Character: HeScM1797"
1,1,7,"The forest cantons led by Alois von Reding made an intent of resistence. Therefore, the French occupied Zürich in order to defeat the rising upheavals in Switzerland. The enforced treaty with France obliged the Swiss to break their neutrality, which converted them into a battle zone between France, Austria and the armies of Imperial Russia.",1798,1,"HeScM1797","Scene:  7#   The forest cantons led by Alois von Reding made an intent of resistence. Therefore, the French occupied Zürich in order to defeat the rising upheavals in Switzerland. The enforced treaty with France obliged the Swiss to break their neutrality, which converted them into a battle zone between France, Austria and the armies of Imperial Russia.","Year:  1798  - - -  Character: HeScM1797"
1,1,8,"1800 Katharina Kaufmann's mother died and she went to live with her aunt in Kriens.",1800,2,"MoKaK1790","Scene:  8#   1800 Katharina Kaufmann's mother died and she went to live with her aunt in Kriens.","Year:  1800  - - -  Character: MoKaK1790"
1,1,9,"The next year in Lodrino, Canton Ticino, on October 10th, 1801, Constantin Siegwart was born into a glassworker's family, originally immigrated from Germany.",1801,4,"SiMueC1800","Scene:  9#   The next year in Lodrino, Canton Ticino, on October 10th, 1801, Constantin Siegwart was born into a glassworker's family, originally immigrated from Germany.","Year:  1801  - - -  Character: SiMueC1800"
1,1,10,"The locals allied mostly with Austria or Russia against France. A series of violent encounters started and culminated in the Stecklikrieg (""wooden club war"") during which Zürich was bombarded 1802, as Meta Schweizer remembered.",1802,1,"HeScM1797","Scene:  10#   The locals allied mostly with Austria or Russia against France. A series of violent encounters started and culminated in the Stecklikrieg (""wooden club war"") during which Zürich was bombarded 1802, as Meta Schweizer remembered.","Year:  1802  - - -  Character: HeScM1797"
