,,,,,"Free",,,,,"Goffman/ Burke",,,"Dramatica",,,,,,,,
"Author","Bibliography","Transcript","Sequence","Text","invivo","chronology","people","places","comments","footing (IM)","encounter","PC","comment","StoryPoint","Character Building","MC Choices","Plot Choices","Theme Choices","Illustrating","Theme Development","Scene No."
231,136,4,1,"HAUSCHRONIK",1,,,,,,,,,,,,,,,,
231,136,4,2,"Ihr habt mir dieses Buch geschenkt, meine jüngsten Kinder, als ein leeres Gefäß, daß ich darin die Geschichte unsres Hauses niederlege - so weit sie mir bekannt und so weit sie überhaupt vor Menschenaugen offen dargelegt werden kann. ",2,,,,,,,,,,,,,,,,
231,136,4,3,"Jedes Leben und jede Familie hat ja neben der sichtbaren äußern eine bedeutendere innere Geschichte, die in andern Büchern eingeschrieben steht. ",2,,,,,,,,,,,,,,,,
231,136,4,4,"Der Unvollkommenheit meiner Mitteilungen wohl bewußt, versuche ich doch - gehorsam dem Worte: ",2,,,,,,,,,,,,,,,,
231,136,4,5,"«Das werde geschrieben auf die Nachkommen», Euern Wunsch zu erfüllen, ",2,,,,,,,,,,,,,,,,
231,136,4,6,"wobei einzig mein - in frühern Jahren zuverlässiges - Gedächtnis mir zur Seite steht, - in der Hoffnung, daß, wenn ich nicht mehr hier bin, eines meiner Kinder, oder - noch später - einer meiner Enkel die Geschichte fortführen werde, daß auch ihre «Nachkommen» es wissen, wer ihre Voreltern waren und was sie in dieser Welt erlebten. ",2,,,,,,,,,,,,,,,,
231,136,4,7,"Als Motto möchte ich in den Anfang dieser Hauschronik das Wort schreiben, das so oft in meinem langen Leben mich erhoben und froh gemacht hat: ",2,,,,,,,,,,,,,,,,
231,136,4,8,"Ps. 139 V. 16. Es waren alle Tage in dein Buch geschrieben, die noch werden sollten, als derselben keiner da war. ",2,,,,,,,,,,,,,,,,
231,136,4,9,"Ich beginne mit dem Geschlecht Eures Vaters, das ich nicht weiter hinauf als bis zu seinem Vater kenne. ",3,,,,,,,,,,,,,,,,
231,136,4,10,"Dieser - Euer Großvater - Jakob Heußer, geboren 1740, ",3,,,,,,,,,,,,,,,,
231,136,4,11,"war ein Sprosse der in Hombrechtikon einheimischen, dort zahlreichen Geschlechter der Heußer, ",3,,,,,,,,,,,,,,,,
231,136,4,12,"mit einem einzigen Bruder ",3,,,,,,,,,,,,,,,,
231,136,4,13,"zugleich der Erbe des schönen Hofes: Holzschlag (im Volksmunde: Houschlig) [*1], nah dem Schwesternrain und Mitgenosse seiner köstlichen Aussicht auf den obern Zürichsee und in die Gebirgswelt. ",3,,,"Zürichsee",,,,,,,,,,,,,
231,136,4,14,"Von einer Schwester dieses meines Schwiegervaters weiß ich, daß sie nach Wädenschweil in den Hof «Zopf» verheiratet wurde [*2]; sie war die Großmutter jenes «Vetter Pfister» in Wädenschweil und jener Frau Wild, welche Verwandtschaften Ihr noch gekannt habt. ",3,,,,,,,,,,,,,,,,
231,136,4,15,"Er selbst, Euer Großvater [23], verheiratete sich mit Katharina Hofmann von Schönenberg. ",3,,,,,,,,,,,,,,,,
231,136,4,16,"Wie es kam, daß er den schönen Hof in Hombrechtikon verließ und auf das kleine Heimwesen Weißerlen [*3] ",3,,,,,,,,,,,,,,,,
231,136,4,17,"(von einem schönen Erlen- und Eichenhain seines Hügels, den ich in der Jugend noch gekannt und geliebt habe, so genannt), Gemeine Schönenberg - das Erbe seiner Frau - hinüberzog, ",3,,,,,,,,,,,,,,,,
231,136,4,18,"das deutete mir einst, als Euer Vater und ich als Brautleute (1819) seine achtzigjährige Patin, Frau Heußer im Langenried, Hombrechtikon, besuchten, die so ehrwürdige und fromme Matrone folgendernIaßen: ",3,1819,,,,,,,,,,,,,,,
231,136,4,19,"«Es war ein großer Schmerz für uns, als der Vater Heußer von uns wegzog; er und mein sel. Mann waren wie Brüder und teilten zusammen Freud und Leid. ",3,,,,,,,,,,,,,,,,
