Author,Biblio,Transcript,Sequence,text,invivo,chronology,people,places,comment,footing (IM),encounter (Goffman),PC,StoryPoint,Character Building,MC Choices,Plot Choices,Theme Choices,Illustrating,Theme Development,scene_no
234,540,7,1,[PA 241] [BH 1] [Lebensrückschau],,,,,,,,,,,,,,,,
234,540,7,2,Mein lieber Bluntschli.Vernimm ruhig meinen wohlüberlegten und festen Entschluss: Ich will sterben!,,,Bluntschli;,,,,,,,,,,,,,1
234,540,7,3,"Doch kann und mag ich nicht scheiden, ohne dass wenigstens du, der bisher von allen Menschen allein mich verstanden, hineingeschaut hast in mein Innerstes und zugleich alle meine Lebensverhältnisse überblickst. Ach, in der Nähe des Todes zeigt sich die Armut der Sprache! Wie vieles möcht' ich gerne anders, besser, deutlicher bezeichnen und für wie vieles gibt es nicht einmal Worte! ",verstehen; Lebensverhältnisse; Tod; Sprache;,,Bluntschli;,,,sandbagging;,,,,,,,,,,1
234,540,7,4,"Aber weg mit aller Schminke der Rede! Die Wahrheit in ihrer [242] Nacktheit soll hier sprechen und zwar alle irdischen Verbindungen und Rücksichten in nichts schonend und mich selber hinmalend in manchem Guten und Schönen, das Gott mir gegeben, wie in meiner ganzen eigenen Erbärmlichkeit. Meine Familie ",Erbärmlichkeit; Wahrheit; Schönheit;,,,,,modesty; ingratiation;,,,,,,,,,,1
234,540,7,5,"Die Familie Hirzel[1] gehört bekanntlich seit mehreren Jahrhunderten zu denangesehensten Zürichs und hat sich fortwährend, ohne von Adel zu sein oder durch Handel sich zu bereichern (niemals hat es einen glücklichen Kaufmann Hirzel gegeben), ",niemals ein glücklicher Kaufmann Hirzel; ,,,Zürich;,This comment rather is a rhetorical strategy than a report of facts; who does he compare his family with?;,physical appearance;,,,,,,,,,,2
234,540,7,6,"doch in der aristokratischen Sphäre erhalten, so weit dieser Name für unsere Vaterstadt passend ist; ihre Stützen waren Wissenschaft, Staatskunst und Kriegswesen. ",aristokratische Sphäre;,,Johannes Hirzel (1749);,,he compares with Berlin and Paris probabely.,modesty or selfhandicapping; sandbagging?,,,,,,,,,,2
234,540,7,7,"Bei dem letzten Säkulum-Wechsel zeigte sich aber eine Erscheinung, welche wie es gewiss ist im Völkerleben so auch im Familienleben ein Vorzeichen des baldigen Untergangs zu sein scheint; ",Untergang;,,,,,excuse;,,,,,,,,,,3
234,540,7,8,"es traten nämlich fast in derselben Zeit eine Menge ausgezeichneter Männer gewissermassen büschelweise bei uns auf, als die Frucht des Baumes, nach deren Reife die, wenigstens einstweilige, Entlaubung kommt. ",,,,,,,,,,,,,,,,3
234,540,7,9,"Und wirklich gibt es gegenwärtig, trotz der grossen Zahl von Familiengliedern keinen einzigen Hirzel mehr, der in irgendwelcher Beziehung irgendwelche Bedeutung hätte, ",,,,Bedeutung,??? What does Bedeutung (meaning) mean?,,,,,,,,,,,3
234,540,7,10,"eine Erscheinung, die vielleicht mit meinem Leben mehr zusammenhängt, als man glauben möchte. ",,,,,,excuse; accounts;,,,,,,,,,,3
234,540,7,11,"[2] Mein Grossvater[2], ein treuer aber geistloser Mann (der Censor des „unsichtbaren Reisenden“) war durch die Macht der Familie Ratsherr geworden; ",,,Johannes Hirzel (1749);,,"Heidegger, Heinrich. ""Tagebuch eines unsichtbar Reisenden""; Inkosequent - ware sie nun bedeutungslos oder Mächtig?",blaring;,,,,,,,,,,3
234,540,7,12,"und da seine Vermögenszustände nicht die besten waren, so gab man ihm eine schon von Natur, noch mehr aber durch die Art der Erziehung beschränkte Tochter eines reichen Handwerkers zur Frau. -Mein Vater[3] sollte, da der ältere Sohn[4] für die Staatsgeschäfte erzogen ward, in fremdes Miliär treten, wobei man es nicht für nötig fand, für seine wissenschaftliche Bildung besonders besorgt zu sein. Er brachte es mit Mühe zu etwas, und zwar sehr wenig: Lesen, Schreiben und Rechnen. ",Verhältnisse; Vermögen;,,Johannes Hirzel (1749);,,,blaring; sandbagging;,,,,,,,,,,3
234,540,7,13,"Wirklich fehlte ihm auch aller Sinn für das Wissenschaftliche, während er dagegen bedeutendes praktisches Talent zeigte, namentlich für Mechanik und Baukunst. ",,,,,,blaring;,,,,,,,,,,3
234,540,7,14,Doch darauf gab weder der Vater noch der Sohn Obacht; ,,,Johannes Hirzel (1749);,,not careful,blaring;,,,,,,,,,,3
234,540,7,15,"vielmehr, als die Französische Revolution mit der Rückkehr der Schweizerregimenter obigen Plan zerstörte, so entschloss sich der Knabe, ein Handwerk zu erlernen, welches es sei, wenn es nur Geld eintrage. ",Geld;,(1792-98); 1831,Schweizerregimenter; der Knabe (? 28 years old?),,stingy,blaring;,,,,,,,,,,3
234,540,7,16,"Dazu wurde er vorzüglich getrieben durch eine schon im Kinde hervorbrechende allmächtige Geldgier. Sehr häufig erzählte er mit der grössten Selbstgefälligkeit, wie er als Knabe schon alle seine Zeit darauf verwendet, Geld zu verdienen, ",Geld;,,,,stingy,blaring;,,,,,,,,,,3
234,540,7,17,so z. B. [243] habe er als ganz kleiner Junge Blumenstöcke gezogen und die auf dem Markte verkaufen lassen und Ähnliches. – ,,,,,,,,,,,,,,,,3
234,540,7,18,"Da die in ihrem Stolze verletzte Familie sah, dass der Kopf des Jungen nicht zu brechen war, so suchte sie ihn wenigstens pekuniär sicher zu stellen und gab ihn bei einem Handwerker in die Lehre, der ein grosses Vermögen und eine einzige Tochter hatte. Beachte hier, mein Lieber, das stufenweise Degenerieren meiner Branche. Hätte mein Grossvater statt einer reichen, ungebildeten eine weniger reiche, gebildete Frau aus seinem Stande gewählt, so würde letztere die Erziehung ihres Sohnes gewiss nicht so sehr vernachlässigt haben; ",Vermögen; Stolz; Speculation;,,Johannes Hirzel (1749); Johannes Hirzel (1776);,,pride; degeneration;,blaring; excuse;,,,,,,,,,,3
234,540,7,19,"und gesetzt auch, es hätte der Sohn dennoch den Handwerksstand gewählt, so würden ihn doch die eingesogenen Grundsätze und das Beispiel der Mutter vor dem Versinken in die Gemeinheit bewahrt haben. ",,,Margaretha Bürkli,,,burying;,,,,,,,,,,3
234,540,7,20,"Jetzt aber, da sich niemand um den Bildungsgang des Knaben bekümmerte und die Altersgenossen seines Standes (ich spreche hier nach den eigenen Erzählungen meines Vaters), wie es zu gehen pflegt, von ihm sich immermehr zurückzogen, so Schloss er sich immer fester den jungen Leuten aus dem rohen und ungebildeten Stande an. ",,,Johannes Hirzel (1776);,,,burying;,,,,,,,,,,3
