"Story","Act","Scene","Sequence","Title","Character","Character_ID","Parentético","Text","Notes"
14,1,1,1,"FADE IN:",,,,"FADE IN: In the Valley of Saga. A group of people is sitting around a table on a beautivul terrasse, next to a small river. They drink milk coffee and eat a delicious Napoleon Pastry.",
14,1,1,2,"FADE IN:",,,,"A messenger approaches them and gives them a note. It says that the president of Germany was in serious dispair. She had to lead Europe in a time when it was torn apart by internal antisystem movements and threatened by the growing Islamic State. Therefore, she asked the anscestors to give her an advice.",
14,1,1,3,"FADE IN:",,,,"Some of them are a little bit set up that she had woken up the death. Still they try to help her and discuss on how they had handle such issues in the past.",
14,1,2,4,"Scene 1: luzern","KATHARINA",86,,"The first time I had seen him was when my mother died. By this time, I didn't know what it was, but I learnt soon what it meant.","Chronology sequence 7; Morel, 1873, p. xy "
14,1,3,5,"Scene 2: luzern","KATHARINA",86,,"I lost everything, my home in Luzern, where I was born. My father sold the Inn we run, and I had to live with my aunt in Kriens.","Chronology sequence 4; Morel, 1873, p. xy "
14,1,4,6,"Scene 3: luzern","KATHARINA",86,,"We had been obliged to host French soldiers already the years before, and the imposition of the Continental system made things not better. Businesses in Luzern were small and without perspective. But I never let anybody control me and rejected all pretendents.","Chronology sequence 5; Morel, 1873, p. xy "
14,1,5,7,"Scene 4: Luzern","KATHARINA",86,,"Until I met him. He was so funny, the Peyer. We should become true compagnion in arms.","Chronology sequence 16; Morel, 1873, p. xy "
14,1,6,8,"Scene 5: Beresina","KATHARINA",86,,"He was a saddler and had tried his luck. But people payed late or never. Peyer was also often ill. When he had to hire new soldiers for Napoleon, I had to do the job for him many times. But finally, he decided to list voluntarily for military service to the great Napoleon. This filled him with hope for a change, a more stable economy. How wrong we were...","Chronology sequence 21; Morel, 1873, p. xy "
14,1,7,9,"scene 6: Beresina","KATHARINA",86,,"Death was not my only enemy. Yes, I was sad, destroyed when my dear parents died. But it was also the beginning of a new life for me.","Chronology sequences 24-36; Morel, 1873, p. xy "
14,1,8,10,"scene 7: Ticino","CONSTANTIN",82,,"What could a glassworker's son strive for by this time? My foster father was a great man, a Catholic priest. He educated me in the Scholastic and send me to even to the best, liberal universities.","Chronology sequence 7 and 19; Morel, 1873, p. xy "
14,1,9,11,"scene 8: Uri","CONSTANTIN",82,,"I achieved citizenship in Uri, had written the ""Tell"" in order to promote me. Further, I was public prosecutor.","Chronology sequence 69, 98; Morel, 1873, p. xy "
14,1,10,12,"scene 9: Uri","CONSTANTIN",82,,"Finally, I married one of the most noble women in Uri. I had calculated well my social ascend. And I had great luck. Josefine became not only my wife, but also my confident, my friend.","Chronology sequence 77; Morel, 1873, p. xy "
14,1,11,13,"scene 10: fehraltorf","HEINRICH",84,,"Constantin, you are right. A good education was key for our social ascend. It was a luck, that already my father was a teacher and he spent his last money to send me to the public high school in Aarau. A foreing university was beyond our possibilities.","Chronology sequence 10 and 48; Morel, 1873, p. xy "
14,1,12,14,"scene 11: Kyburg","HEINRICH",84,,"I would become tribunal and even Police Council, Grand Councilor and member of the State Council, later in the 30s.","Chronology sequence 82, 85, 87; Morel, 1873, p. xy "
14,1,13,15,"scene 12: Fehraltorf","HEINRICH",84,,"But I was not so lucky in love as you two. My first wife died early after our marriage.","Chronology sequence 70; Morel, 1873, p. xy "
