Author,Biblio,Transcript,Unit,text,invivo,chronology,people,places,comments,footing (IM),encounter,PC,Dramatica,StoryPoint,Character Building,MC Choices,Plot Choices,Theme Choices,Illustrating,Theme Development,Scene No.,Scene Title
367,215,15,1,Das Tagebuch einer Luzernerin aus dem Feldzuge nach Russland 1812,,,,,,,,,,,,,,,,,,
367,215,15,2,von Dr. J. Franz Bucher,,,,,,,,,,,,,,,,,,
367,215,15,3,Luzern,,,,,,,,,,,,,,,,,,
367,215,15,4,Buchdruckerei J.L. Bucher & Sohn 1901,,,,,,,,,,,,,,,,,,
367,215,15,5,{[...] In Marseille verblieb Frau Peyer ein Jahr und führte eine Pension: [...] Am 27. Oktober 1811 [...] Sie Sagt:} ,,,,,,,,,,,,,,,,,,
367,215,15,6,"Sehr ungern verliess ich die Stadt, in der ich nun bekann war und in der ich so viele Freuden genossen, zeitlebens hätte ich dort bleiben mögen.",,,,,,,,,,,,,,,,,,
367,215,15,7,"Nun musste ich meine hausrätlichen Sachen verkaufen, mit denen ich reichlich versehen war.",,,,,,,,,,,,,,,,,,
367,215,15,8,"Bei meiner Abreise hätte ich zwar nie geglaubt, eine so grosse Reise antreten zu müssen!",,,,,,,,,,,,,,,,,,
367,215,15,9,{Am 7. Dezember kam das Regiment nach Paris. [6]},,,,,,,,,,,,,,,,,,
367,215,15,10,Sogleich morgen nach unserer Ankunft musste unser Regiment vor dem Schlosse der Tuilerien die Revue des Kaisers passieren. ,,,,,,,,,,,,,,,,,,
367,215,15,11,"Ich sah die ganze prächtige Garde des Kaiser Napoleon, aller Nationen Militär, die Revue passieren mussten.",,,,,,,,,,,,,,,,,,
367,215,15,12,"[7] Man glaubte, die Schweizer müssten in Paris bleiben, als eine Garde, welche die Kaiserin Marie Louise vom Kaiser verlangt habe.",,,,,,,,,,,,,,,,,,
367,215,15,13,"Am gleichen Tage hatten ich und mein Mann viele Bekannte angetroffen, so unter andern einen Ronca aus Luzern, der uns spazieren führte und freundlich regalierte; derselbe war Hofbäcker in Fontainebleau.",,,,,,,,,,,,,,,,,,
367,215,15,14,"Ich sah an diesem Tage die Majestäten: den Kaiser und die Kaiserin Marie Louise mit dem Könige von Rom, die vielen Minister und Generäle.",,,,,,,,,,,,,,,,,,
367,215,15,15,Ich spazierte den ganzen Tag in dem Garten der Tuilerien.,,,,,,,,,,,,,,,,,,
367,215,15,16,Am Ambend musste unser SChweizerregiment mit der Garde des Kaisers zu Nacht speisen.,,,,,,,,,,,,,,,,,,
367,215,15,17,[...],,,,,,,,,,,,,,,,,,
367,215,15,18,"{Frau Peyer gibt nun in ihrem Tagebuch getreulich Auskunft über die Marschroute des II. Regiments. Am 24. Januar 1812 gelangte dasselbe nach Bruxelles, am 27. bezog es Quartier in Lüttich. Hier erkrankte ihr Mann Heinrich Peyer. [...]}",,,,,,,,,,,,,,,,,,
367,215,15,19,"Er musste Hunger leiden, wenn ich ihm nicht verstohlener Weise zu essen bringen konnte; auch durfte ich ohne schriftliche Permission des Platzkommandanten nich in das Spital, weil keine Weibsleute in dasselbe durften.",,,,,,,,,,,,,,,,,,
367,215,15,20,"{Im Juni, das Datum fehlt, kam Frau Peyer nach Marienwerder und hier beginn ihr Tagebuch ausführlicher zu werden. Sie schreibt:}",,,,,,,,,,,,,,,,,,
367,215,15,21,"Eine Stunde von Marienwerder, auf einer Ebene, versammelten sich alle vier Schweizerregimenter, zwei Regimenter Holländer, [14] das ganze Armeecorps, so aus 75,000 Mann bestand: drei Divisionen Infanterie, das übrige Kavallerie.",,,,,,,,,,,,,,,,,,
367,215,15,22,[...],,,,,,,,,,,,,,,,,,
367,215,15,23,"Man erwartete Kaiser Napoleon, um die Truppen zu mustern. Allein Napoleon kam nicht.",,,,,,,,,,,,,,,,,,
367,215,15,24,"Am folgenden Tag gingen wir wieder weiter und kamen vier Stunden von Marienwerder in ein schönes Dorf, wo wir drei Tage blieben. Eine Viertelstunde von diesem Dorf befand sich eine Schäferei mit einer Sennhütte, wo ich süssen Rahm ass, was eine Seltenheit in diesem Lande ist.",,,,,,,,,,,,,,,,,,
367,215,15,25,"Im gleichen Dorf kaufte ich ein Pferdchen für 22 Thaler, das schönste Pferdchen, so wir beim Regiment hatten.",,,,,,,,,,,,,,,,,,
367,215,15,26,"Ich nanntes es Minetta; ich erhielt vom Oberst die Erlaubnis, ein Pferd zu halten.",,,,,,,,,,,,,,,,,,
367,215,15,27,Von Luzern bis Marseille und von Marseille bis Marienwerder beläuft sich unsere Marschroute auf 761 Stunden.,,,,,,,,,,,,,,,,,,
367,215,15,28,[...],,,,,,,,,,,,,,,,,,
367,215,15,29,[15],,,,,,,,,,,,,,,,,,
367,215,15,30,"Kaiser Napoleon machte uns noch mehrer Male so zusammen auf in zu warten, bir er einmal ganz unerwartet in einer polnischen Stadt war, nahe bei Gummbinnen, und sogleich die Revue auf einem ebenen Felde hielt.",,,,,,,,,,,,,,,,,,
367,215,15,31,"Da konnte ich ihn denn nebst seinem ganzen Generalstabe am beste in der Nähe sehen, welches ich auch tat.",,,,,,,,,,,,,,,,,,
367,215,15,32,Von Marienwerder an mussten wir immer bivouakieren.,,,,,,,,,,,,,,,,,,
367,215,15,33,Im Juli kamen wir an den Niemen bei Kowno, ,,,,,,,,,,,,,,,,,
367,215,15,34,"von hier marschierten wir gegen Riga, wandten uns wieder von dieser Strasse ab und zogen nach Polozk.",,,,,,,,,,,,,,,,,,
367,215,15,35,"Bei Wehlau, am 17 Juni (Dr. Maag hat das Datum des 18. Juni) war es, wo Napoleon die Musterung des II. Corps, unter dem Kommando des Herzogs von Reggio, des Marschalls Oudinot passierte.",,,,,,,,,,,,,,,,,,
367,215,15,36,"Wehlau ist eine kleine Stadt, liegt am Pregel.",,,,,,,,,,,,,,,,,,
367,215,15,37,"Wir marschierten am gleichen Tage noch zwei Stunden auf ein abgelegenes Dorf, wo die ganze Musik einquartiert wurde in einem einzigen Haus. [16]",,,,,,,,,,,,,,,,,,
367,215,15,38,"{Ein Schaller aus Freiburg bewunderte in ihm [Napoleon] nicht nur den Sieger von Europa [...]. „Seine Adleraugen funkelten und jedes Corps strengte sich an, durch seine gute Haltung und durch die Genauigkeit der Manöver sein Lob zu verdienen.“ „Napoleon soll indes von der Musterung nicht in allen Teilen zufrieden gestellt worden sein. Er soll gesagt haben: „Die Schweiz kompromittiert sich gehörig, in dem sie keine Leute schickt, ich fürchte, es werde ein böses Ende nehmen und man verdient es.“",,,,,,,,,,,,,,,,,,
