Author,Biblio,Transcript,Sequence,Text
532,278,11,1,Uebersicht meiner Lebensgeschichte bis zum Beginn meines öffentlichen Wirkens.
532,278,11,2,[1] Das Licht der Welt erblickte ich in Lodrino den 10. Weinmonat 1801. 
532,278,11,3,"Lodrino ist ein Kleiner Pfarrort, auf dem rechten Ufer des Ticino in der Riviera, Kantons Tessin, in der Schweiz. "
532,278,11,4,Die Eltern hießen Johann Baptist Siegwart und Maria Pfulg. 
532,278,11,5,"Der Vater war aus dem Kragen in der Gemeinde Flühli, Kantons Luzern, wo er den 30. Heumonat 1765 geboren worden war, nach Lodrino gezogen und hatte dort mit seinem Bruder Meinrad eine Glashütte gebaut. "
532,278,11,6,"In den [2] Kanton Luzern war die Familie Siegwart aus dem Schwarzwalde, Großherzogthum Baden, schon im siebzehnten Jahrhundert eingewandert. "
532,278,11,7,"Die Familie Siegwart war übrigens (nach Leus Lexikon) schon viel früher im Kanton Bern eingebürgert. In Urkunden findet man im Jahr 1502 einen Albrecht Siegwart; er war 1521 Mitglied des Großen Rathes in Bern, im Jahr 1535 verehelichte er sich mit Margarethe Frisching; 1536 war er Schultheiß (Landvogt) zu Unterseeen [sic]; 1532 vorher Vogt zu Signau; 1545 Kastellan zu Zweysimmen; 1551 Landammann zu Oberhasle. — "
532,278,11,8,"Schon mein Großvater Meinrad Siegwart, Sohn des Anton und der Maria Knotz, wurde den 5. März 1738 in Schüpfheim getauft und verehelichte sich den 6. Mai 1760 mit Katharina Fillinger beim heiligen Kreuze in Hasle. "
532,278,11,9,Er starb den 15. Hornung 1799 in Lodrino. 
532,278,11,10,Meine Mutter war den 17. Mai 1768 in Flühli geboren. Sie verehelichte sich mit meinem Vater den 4. Mai 1799. 
532,278,11,11,"Ich stammte demnach von einer deutschen Familie aus dem Großherzogthum Baden ab. Die Familie Siegwart besaß aber seit ihrer Einwanderung in den Kanton Luzern eine Glashütte in Flühli, erwarb sich eine Menge von Liegenschaften, verbreitete Gewerbsamkeit, heirathete sich in Landesfamilien ein, kaufte das Bürgerrecht im Kanton Luzern, war vermöglich und angesehen. "
532,278,11,12,"Lächerlich war es, daß ich, sogar nachdem ich schon zwei Bürgerrechte in den Kantonen Uri und Luzern erworben hatte, noch bald von der einen, bald von der andern politischen Partei als ein „Fremder"", als ein „Schwarzwälder"" dem Hasse preisgegeben werden wollte. Mancher, welcher mich einen „Fremden"" nannte, hatte nicht so gute Rechtstitel, wie ich, ein ächter Schweizer zu heißen."
532,278,11,13,  Frühe verlor ich meine Eltern. 
532,278,11,14,"Die Mutter starb den 7. Jänner 1802, der Vater den 14. März 1803, also war ich erst drei Monate alt, als ich meine Mutter, und noch nicht achtzehn Monate alt, als ich meinen Vater verlor. "
532,278,11,15,"Meine Eltern waren in Lodrino sowohl wegen ihres Vermögens, als auch wegen ihres Charakters angesehen und geliebt. "
532,278,11,16,"Der Herr Pfarrer von Lodrino, Johannes Jemini, schrieb mir darüber unterm 22. Mai 1849: „Parentes tui bene audiunt apud omnes qui eos cognoverunt tum quoad vitam et bonos mores, tum quoad substantias et divitias eorum: et propter quod tibi gratulor."" Das heißt: „Ich bin so glücklich, Ihnen zu sagen, daß Ihre Eltern bei allen Denjenigen, welche sie gekannt haben, einen guten Namen haben, sowohl rücksichtlich ihres Lebenswandels und ihrer guten Sitten, als rücksichtlich ihrer Besitzungen und Reichthümer."""
532,278,11,17,"  Meinrad, der Bruder meines Vaters, führte das Geschäft nach dessen Tode fort. "
532,278,11,18,"Allein auch er starb schon den 7. Mai 1805, und hinterließ mir ein beträchtliches, nach den Verhältnissen des Landes sogar reiches Vermögen. "
532,278,11,19,"Vor seinem Tode hatte er nur seinen Schwager, Melchior Trösch von Göschinen, Kantons Uri, Sohn des Schloßvogtes von Bellenz, als Vormund bestellt. "
532,278,11,20,"Nach dem Tode meines Oheims Meinrad kam ich in das Haus meines Vormundes in Bellenz, wo noch meine Großmutter Katharina Fillinger lebte. Sie war sehr gütig gegen mich, aber zu alt, meine Erziehung zu besorgen. "
532,278,11,21,"Mein Vormund hatte einen Oheim, den Bruder seiner Mutter, welcher Pfarrer auf dem Seelisberge im Kanton Uri war und Joseph Maria Regli hieß. Diesem übergab er mich zur Erziehung. Rosalia Trösch, des Vormundes Schwester, geleitete mich nach Seelisberg. "
532,278,11,22,"Auf einem Maulthiere überstieg ich den St. Gotthard. Zu meinem nicht geringen Schrecken ging es, nach Gewohnheit dieser Thiere, immer am äußersten Rande der Abgründe, jedoch langsam und sichern Trittes, seinen Weg. Am 26. Brachmonat 1808 kam ich auf dem Seelisberge an. "
532,278,11,23,Der gute Pfarrer nahm mich mit herzlicher Freundlichkeit auf und vertrat von nun an Vaterstelle an mir. Ich blieb in seiner Erziehung und Pflege bis zum 18. Weinmonat 1818.
532,278,11,24,"  Der Seelisberg, damals die Gemeinde eines guten, im Ganzen wohlhablichen Hirtenvolkes, welches, nach Art der Bergvölker überhaupt, auch etwas Zurückhaltendes und Witzelndes im Charakter hatte, ist jetzt ein [3] berühmter Kurort, von allerlei Nationen besucht, geworden. Der Berg hat eine sehr gesunde Luft, eine freie Aussicht auf den Vierwaldstättersee, der ihn umspült, und auf die Waldstätte Uri, Schwyz, Unterwalden und Luzern. "
532,278,11,25,"Er schließt in sich die Wiege der schweizerischen Freiheit, das einsame Rütli, welches der Kanton Uri in neuester Zeit an die gemeinnützige Gesellschaft der Schweiz verkaufen ließ. "
532,278,11,26,"Auf dem Berge selbst, am Fuße der Kulm, liegt ein fisch-, krebs- und austernreiches Seelein, von welchem die Gemeinde den Namen hat. Der Berg, vorzüglich auf seinem nordwestlichen Fuße am See, ist sehr fruchtbar an Wiesen und feinem Obstgewächse. Die Mundart der Seelisberger ist die der Unterwaldner, früher war es auch meistens die Kleidertracht. Jetzt hat die letztere gar keinen eigenthümlichen Charakter mehr. Die Seelisberger stehen meistentheils mit Schwyz im Verkehre, sehr wenig mit Uri, sind auch mehr mit den Unterwaldnern und Schwyzern befreundet, als mit den Urnern."
