"Transcript","Author","Bibliography","no","text","scene","invivo","chronology","people","places","footing (IM)","encounter (Goffman)","PC","comment","Story elemet"
12,532,279,1,"[Der Kampf zwischen Recht und Gewalt in der Schweizerischen Eidgenossenschaft und mein Antheil daran by Constantin Siegwart-Müller] [i-v] Der Absatz, welchen der zuerst unter dem Titel: Rathsherr Joseph Leu von Ebersoll.",,,,,,,,,,
12,532,279,2,"Der Kampf zwischen Recht und Gewalt in der schweizerischen Eidgenossenschaft"" erschienene Band dieses Werkes vorzugswuse bei dem katholischen Luzeruervolke, welches seinem Vater Leu mit treuer Liebe anhängt, und durch Freunde auch im Auslande gefunden, hat den Verfafser erinuthigt, mit der Heransgabe seiner während der Abwesenheit von der Heimath aufgezeichneten Denkwürdigkeiten fortzufahren.",,,,,,,,,,
12,532,279,3,"Es erscheint demnach wieder ein Band derselben, und zwar bildet dieser eigentlich den ersten seines ganzen in drei Bänden bestehenden Werkes.",,,,,,,,,,
12,532,279,4,"Ueber den zuerst herausgegebenen zweiten Band sind dem Verfasser zwei Bemerkungen gemacht worden.",,,,,,,,,,
12,532,279,5,"Die erste tadelte, daß die vielen Urkunden, welche der Verfasser als Belege seiner Darstellungen aufnahm, dem Werke selbst eingeschaltet und nicht in die Noten oder an das Ende verwiesen worden seien.",,,,,,,,,,
12,532,279,6,"Dieser Tadel konnte den Verfasser jedoch nicht bestimmen, in dem nun vorliegenden ersten Bande eine andere Verfahrungsweise einzuschlagen.",,,,,,,,,,
12,532,279,7,"Ihm ist es immer widrig, wenn er bei dem Lesen eines Buches, durch lauge Anmerkungen oder Noten unten alle Augenblicke unterbrochen wird oder wenn er die beweisenden Belege am Ende eines Buches aufsuchen [vii-viii] und nachlesen muß.",,,,,,,,,,
12,532,279,8,"Die Aufnahme wesentlicher Urkunden schien ihm auch diesmal eine Pflicht zu sein, weil er aus den im Vorworte zum zweiten Bande entwickelten Gründen dem Leser sein Urtheil nicht aufdringen, sondern es demselben anheimstellen möchte.",,,,,,,,,,
12,532,279,9,"Eine zweite Bemerkung ging dahin: es sei der chronologische Zusammenhang der beschriebenen Ereignisse nicht recht ersichtlich.",,,,,,,,,,
12,532,279,10,"Der Umstand, daß der Verfasser zuerst seinem verklärten Freunde Joseph Leu ein Denkmal setzen wollte, nöthigte ihn allerdings, alle Ereignisse, welche sich im Kanton Luzern an diesen Führer des Luzernervolkes anfügten und von ihm gleichsam geleitet waren, in den zweiten Band aufzunehmen.",,,,,,,,,,
12,532,279,11,"Dadurch wurde der chronologische Zusammenhang freilich etwas gestört.",,,,,,,,,,
12,532,279,12,"Zu dieser Störung trug auch noch bei, daß der Verfasser die Begebenheiten nicht synchronistisch zusammenstellt, sondern entweder nach Kantonen oder nach Gegenständen jedesmal vom Anfang bis zum Ende durchführt.",,,,,,,,,,
12,532,279,13,"Er wird jedoch im dritten Bande eine Uebersicht über das ganze Werk geben und die Ereignisse so aneinanderreihen, daß jeder Leser den chronologischen Zusammenhang leicht wird finden und überblicken können.",,,,,,,,,,
12,532,279,14,"Der erste Band beginnt mit einer kurzen Lebensgeschichte des Verfassers bis zu seinem Eintritte ins öffentliche Leben.",,,,,,,,,,
12,532,279,15,"Auch im Laufe des Bandes ist das Wirken des Verfassers häufig vorangestellt, so daß seine Persönlichkeit in den Ereignissen, welche er beschreibt, ersichtlich wird.",,,,,,,,,,
12,532,279,16,"Die Beurtheilungen und Verurtheilungen, welche er bald von der einen, bald von der andern der politischen Parteien zu erfahren hatte, schienen ihn nicht blos zu berechtigen, sondern sogar zu verpflichten, seine Grundsätze, Absichten und Handlungen in ihrem wahren Lichte darzustellen, ohne Hehl und ohne Schminke, gerecht gegen sich wie gegen Andere.",,,,,,,,,,
