Author,Biblio,Transcript,Sequence,Text,invivo,chronology,people,places,comments,footing (IM),footing (IM),encounter (Goffman),PC,StoryPoint,Character Building,MC Choices,Plot Choices,Theme Choices,Illustrating,Theme Development,Scene No.
645,532,14,1,[-1-] Beitrag zur Geschichte der Revolution vom 6ten September 1839.,,,,,,,,,,,,,,,,,
645,532,14,2,"gewesenem Mitgliede des zürcherschen Regierungsrathes, ",regierungsrathsrath; zürich; mitglied;,,,,,leader; authority,,,,,,,,,,,
645,532,14,3,"Winterthur, Verlag des literarischen Comtoirs",,,,winterthur;,,,,,,,,,,,,,
645,532,14,4,und in Commission von A. G. Hegners Buchhandlung.,commission;,,,,,,,,,,,,,,,,
645,532,14,5,[-2—] [graphic],,,,,,,,,,,,,,,,,
645,532,14,6,[-3—] Während der Zürcher'schen Katastrophe wurden eine so zahllose Menge ,katastrophe;,,,,,,,,,,,,,,,,
645,532,14,7,"von Gerüchten verbreitet — zum Theil auch über mich und zwar in dem Maße, ",,,,,,,,,,,,,,,,,
645,532,14,8,daß mir ein wesentlicher Antheil an der Veranlaßung jener zugeschoben ,,,,,,,,,,,,,,,,,
645,532,14,9,"werden wollte 1)[ ] — Thatsachen entstellt und Lügen erfunden, daß schon ",,,,,,,,,,,,,,,,,
645,532,14,10,"dieses mich vermochte, eine getreue Darstellung dessen, wovon ich ",,,,,,,,,,,,,,,,,
645,532,14,11,"Augenzeuge gewesen, niederzuschreiben, nicht zur Rechtfertigung weder ",,,,,,,,,,,,,,,,,
645,532,14,12,"meiner selbst, noch der abgetretenen Regierung, sondern, um mittelst ",regierung; ,,,,,,,,,,,,,,,,
645,532,14,13,"dieser Verbreitung der Wahrheit die, welche zugänglich für sie sind, in ",,,,,,,,,,,,,,,,,
645,532,14,14,"den Stand zu setzen, ein begründetes Urtheil über jene Vorgänge und die ",,,,,,,,,,,,,,,,,
645,532,14,15,"Personen zu fällen, die dabei betheiligt waren. ",,,,,,,,,,,,,,,,,
645,532,14,16,Eben so wollte ich einen Beitrag liefern für den künftigen ,beitrag;    ,,,,,,,,,,,,,,,,
645,532,14,17,"Geschichtschreiber, den auch unsere Revolution ohne Zweifel und ",revolution;,,,,,,,,,,,,,,,,
645,532,14,18,hoffentlich finden wird.,hoffen;,,,,,,,,,,,,,,,,
645,532,14,19,"Bekanntlich hatte das Central-Comité unterm 8. August, zu einer Zeit, wo ",comité;,,,,,,,,,,,,,,,,
645,532,14,20,der Strom der durch die [-4-]Berufung von Dr. Strauß verursachten ,,,strauss;,,,,,,,,,,,,,,
645,532,14,21,"Bewegung allmählig sich wieder zu legen begonnen hatte, einen neuen ",,,,,,,,,,,,,,,,,
645,532,14,22,Aufruf 2)[ ] unter dem Volke verbreitet. ,volk;,,,,,,,,,,,,,,,,
645,532,14,23,"Von vielen [-5—]Seiten, namentlich aus der östlichen Gegend des Kantons ",,,,,,,,,,,,,,,,,
645,532,14,24,"und vom See her, hieß es, er habe wieder dieselbe [-6—]Aufnahme gefunden, ",,,,see;,,,,,,,,,,,,,
645,532,14,25,"dieselbe thätige Theilnahme erregt, wie die frühern Zuschriften an das ",,,,,,,,,,,,,,,,,
645,532,14,26,"Volk, ",volk;,,,,,,,,,,,,,,,,
645,532,14,27,"und es sei [-7—]nicht zu zweifeln, es werden erneuerte Forderungen und ",,,,,,,,,,,,,,,,,
645,532,14,28,"Begehren an die Regierung und den großen Rath [-8—]gestellt werden, denen ",regierung; begehren;,,,,,,,,,,,,,,,,
645,532,14,29,dann eine Volksversammlung den gehörigen Nachdruck werde geben sollen. ,volk;,,,,,,,,,,,,,,,,
645,532,14,30,Einzelne Mitglieder des Regierungsrathes theilten sich diese Beoachtungen ,regierungsrath; mitglied;,,,,,,,,,,,,,,,,
645,532,14,31,mit und verabredeten auf den 20. Abends eine vertrauliche Besprechung ,,,,,,,,,,,,,,,,,
645,532,14,32,unter sich. ,,,,,,,,,,,,,,,,,
645,532,14,33,"Es waren dieses die Herren Bürgi, Zehnder, Fierz, Krauer, Hotz, Schappi, ",,,bürgi;,,,,,,,,,,,,,,
645,532,14,34,Keller und ich; auch Herr Dr. Keller war zugegen. ,,,keller;,,,,,,,,,,,,,,
645,532,14,35,Das Gespräch wurde sehr ernst gehalten und die bei Jedem herrschende ,,,,,,,,,,,,,,,,,
645,532,14,36,"Ueberzeugung, daß unsrer Verfassung, unsern Institutionen, vielleicht ",,,,,,,,,,,,,,,,,
