"Transcript","Author","Bibliography","Sequence_no","Text","places","footing (IM)","encounter (Goffman)","PC","comment","Story elemet",
14,645,532,1,"[-1-] Beitrag zur Geschichte der Revolution vom 6ten September 1839.","invivo","chronology","people","places","footing (IM)","encounter (Goffman)","Story elemet"
14,645,532,2,"gewesenem Mitgliede des zürcherschen Regierungsrathes, ","regierungsrathsrath; zürich; mitglied;",,,,"leader; authority",,
14,645,532,3,"Winterthur, Verlag des literarischen Comtoirs",,,,"winterthur;",,,
14,645,532,4,"und in Commission von A. G. Hegners Buchhandlung.","commission;",,,,,,
14,645,532,5,"[-2—] [graphic]",,,,,,,
14,645,532,6,"[-3—] Während der Zürcher'schen Katastrophe wurden eine so zahllose Menge ","katastrophe;",,,,,,
14,645,532,7,"von Gerüchten verbreitet — zum Theil auch über mich und zwar in dem Maße, ",,,,,,,
14,645,532,8,"daß mir ein wesentlicher Antheil an der Veranlaßung jener zugeschoben ",,,,,,,
14,645,532,9,"werden wollte 1)[ ] — Thatsachen entstellt und Lügen erfunden, daß schon ",,,,,,,
14,645,532,10,"dieses mich vermochte, eine getreue Darstellung dessen, wovon ich ",,,,,,,
14,645,532,11,"Augenzeuge gewesen, niederzuschreiben, nicht zur Rechtfertigung weder ",,,,,,,
14,645,532,12,"meiner selbst, noch der abgetretenen Regierung, sondern, um mittelst ","regierung; ",,,,,,
14,645,532,13,"dieser Verbreitung der Wahrheit die, welche zugänglich für sie sind, in ",,,,,,,
14,645,532,14,"den Stand zu setzen, ein begründetes Urtheil über jene Vorgänge und die ",,,,,,,
14,645,532,15,"Personen zu fällen, die dabei betheiligt waren. ",,,,,,,
14,645,532,16,"Eben so wollte ich einen Beitrag liefern für den künftigen ","beitrag;    ",,,,,,
14,645,532,17,"Geschichtschreiber, den auch unsere Revolution ohne Zweifel und ","revolution;",,,,,,
14,645,532,18,"hoffentlich finden wird.","hoffen;",,,,,,
14,645,532,19,"Bekanntlich hatte das Central-Comité unterm 8. August, zu einer Zeit, wo ","comité;",,,,,,
14,645,532,20,"der Strom der durch die [-4-]Berufung von Dr. Strauß verursachten ",,,"strauss;",,,,
14,645,532,21,"Bewegung allmählig sich wieder zu legen begonnen hatte, einen neuen ",,,,,,,
14,645,532,22,"Aufruf 2)[ ] unter dem Volke verbreitet. ","volk;",,,,,,
14,645,532,23,"Von vielen [-5—]Seiten, namentlich aus der östlichen Gegend des Kantons ",,,,,,,
14,645,532,24,"und vom See her, hieß es, er habe wieder dieselbe [-6—]Aufnahme gefunden, ",,,,"see;",,,
14,645,532,25,"dieselbe thätige Theilnahme erregt, wie die frühern Zuschriften an das ",,,,,,,
14,645,532,26,"Volk, ","volk;",,,,,,
14,645,532,27,"und es sei [-7—]nicht zu zweifeln, es werden erneuerte Forderungen und ",,,,,,,
14,645,532,28,"Begehren an die Regierung und den großen Rath [-8—]gestellt werden, denen ","regierung; begehren;",,,,,,
14,645,532,29,"dann eine Volksversammlung den gehörigen Nachdruck werde geben sollen. ","volk;",,,,,,
14,645,532,30,"Einzelne Mitglieder des Regierungsrathes theilten sich diese Beoachtungen ","regierungsrath; mitglied;",,,,,,
14,645,532,31,"mit und verabredeten auf den 20. Abends eine vertrauliche Besprechung ",,,,,,,
14,645,532,32,"unter sich. ",,,,,,,
14,645,532,33,"Es waren dieses die Herren Bürgi, Zehnder, Fierz, Krauer, Hotz, Schappi, ",,,"bürgi;",,,,
14,645,532,34,"Keller und ich; auch Herr Dr. Keller war zugegen. ",,,"keller;",,,,
14,645,532,35,"Das Gespräch wurde sehr ernst gehalten und die bei Jedem herrschende ",,,,,,,
14,645,532,36,"Ueberzeugung, daß unsrer Verfassung, unsern Institutionen, vielleicht ",,,,,,,
14,645,532,37,"auch den Behörden selbst Gefahr drohe, brachte uns bald und [-9-] ohne ",,,,,,,
14,645,532,38,"viele Worte zu machen, zu dem Schlusse, die Regierung dürfe diesem ","regierung; wort;",,,,,,
14,645,532,39,"erneuerten Treiben nicht stillschweigend zusehen; es sei evident, daß die ",,,,,,,
14,645,532,40,"ganze Tendenz derer, die an der Spitze stehen, eine politische und nichts ",,,,,,,
14,645,532,41,"weniger als eine religiöse sei. ",,,,,,,
14,645,532,42,"Der Verfassung, den Freiheiten und Rechten des Volkes, das, leider, nicht ","volk;",,,,,,
14,645,532,43,"einsehe, was man mit ihm vorhabe, dem politischen Systeme überhaupt, das ",,,,,,,
14,645,532,44,"wir dem Kantone Zürich errungen und das ihm eine Auszeichnung unter allen ","zürich;",,,"zürich;",,,
14,645,532,45,"übrigen Ständen verschafft habe, insbesondere aber den Bürgern des ","bürger;",,,,,,
14,645,532,46,"Landes, denen Ruhe und Ordnung lieb wären und die sich auf's Neue nach ","ordnung; ruhe;",,,,,,
14,645,532,47,"dem Schutze der Regierung gegen leidenschaftliche Verfolgung in dem Maße ","regierung;",,,,,,
14,645,532,48,"sehnten, daß sie sich mit Verachtung von der schwachen, ohnmächtigen zu ",,,,,,,
