id,story,step,throughline,domain,concern,issue,theme,sequence,encoding
113,7,1,1,1,3,NULL,NULL,NULL,NULL
114,7,2,1,1,0,NULL,NULL,NULL,NULL
115,7,3,1,1,2,NULL,NULL,NULL,NULL
116,7,4,1,1,0,NULL,NULL,NULL,NULL
117,7,5,1,1,4,NULL,NULL,NULL,NULL
118,7,6,1,1,0,NULL,NULL,NULL,NULL
119,7,7,1,1,1,NULL,NULL,NULL,NULL
120,7,1,2,4,15,NULL,NULL,NULL,NULL
121,7,2,2,4,0,NULL,NULL,NULL,NULL
122,7,3,2,4,16,NULL,NULL,NULL,NULL
123,7,4,2,4,0,NULL,NULL,NULL,NULL
124,7,5,2,4,13,NULL,NULL,NULL,NULL
125,7,6,2,4,0,NULL,NULL,NULL,NULL
126,7,7,2,4,14,NULL,NULL,NULL,NULL
127,7,1,4,2,6,NULL,NULL,NULL,NULL
128,7,2,4,2,0,NULL,NULL,NULL,NULL
129,7,3,4,2,8,NULL,NULL,NULL,NULL
130,7,4,4,2,0,NULL,NULL,NULL,NULL
131,7,5,4,2,7,NULL,NULL,NULL,NULL
132,7,6,4,2,0,NULL,NULL,NULL,NULL
133,7,7,4,2,5,NULL,NULL,NULL,NULL
134,7,1,3,3,9,NULL,NULL,NULL,NULL
135,7,2,3,3,0,NULL,NULL,NULL,NULL
136,7,3,3,3,10,NULL,NULL,NULL,NULL
137,7,4,3,3,0,NULL,NULL,NULL,NULL
138,7,5,3,3,11,NULL,NULL,NULL,NULL
139,7,6,3,3,0,NULL,NULL,NULL,NULL
140,7,7,3,3,12,NULL,NULL,NULL,NULL
