"id","img","author_name","author_id","type","genre","created","published","title","subtitle","publisher","location","citation","description","source","medium","language","format","subject","rights","rights_holder","data_evaluation","authority_record","authority_organization","pdf_book","ext_source"
"1",NULL,"0","0","1","1",NULL,"1822-01-01 00:00:00","Ein Wor an meine Mitlandleute im Kanton Schwyz wegen dem Kriegsdient in Neapel",NULL,NULL,NULL,NULL,"author: Anonymoussubject: Anonymous",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"2",NULL,"0","0","1","1",NULL,"1824-01-01 00:00:00","Ansichten eines Eidgenössischen Miliz-Offiziers über den Fremden Kriegsdienst der Schweizer (etc.)",NULL,"Gessner","Zürich",NULL,"author: Anonymoussubject: Anonymous",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"3",NULL,"0","0","1","1",NULL,"1846-01-01 00:00:00","Die fünfzenjährige Fehde der Revolution gegen die Katholische Schweiz (1830-1845)",NULL,"Gebrüder Räber","Luzern",NULL,"author: Anonymoussubject: Anonymous",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"4",NULL,"0","0","3","8",NULL,"1848-01-01 00:00:00","Der Siegreiche Kampf der Eidgenossen gegen Jesuitentum und Sonderbund, etc. nebst vollständiger Schilderung des Feldzuges vom November 1847. Durch einen Offizier der Eidg. Armee.",NULL," Jent und Gassmann",NULL,NULL,"author: Anonymoussubject: Anonymous",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"5",NULL,"0","0","2","8",NULL,"1833-01-01 00:00:00","Helvetia. Denkwürdigkeiten für die XXII Freistaaten der Schweizerischen Eidgenossenschaft","Achter Band","J.J. Christen Buchdrucker und Buchhändle","Aarau",NULL,"author: Balthasar, Josef Antonsubject: Balthasar",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"6",NULL,"0","0","2","10",NULL,"1839-01-01 00:00:00","Republikaner","1.10.1839",NULL,NULL,NULL,"author: subject: Bleuler","Mörgeli, Christoph: Der ""Züriputsch"" aus",NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"7",NULL,"0","0","1","1",NULL,"1848-01-01 00:00:00","Selbsbiographie von Robert Blum und dessen Ermordung in Wien 9. Novbr. 1848",NULL,"F.W. Goedsche","Leibzig und Meissen",NULL,"author: Blum, Robertsubject: Blum",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"8",NULL,"38","38","1","1",NULL,"1884-01-01 00:00:00","Denkwürdiges aus meinem Leben",NULL,"Verlag der C.H. Bekschen Buchhandlung",NULL,NULL,"author: Bluntschli, Johann Caspar subject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"9",NULL,"38","38","1","1",NULL,"1884-01-01 00:00:00","Denkwürdiges aus meinem Leben","(Hsg.) Seyerlen, Rudolf: Bd. 1: Die Schweizerische Periode 1808-1848",NULL,"Nördlingen",NULL,"author: Bluntschli, Johann Caspar subject: Bluntschli","Aerne, Peter: Pfarrer Bernhard Hirzel, A",NULL,"1","Gedruckte Quellen",NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"10",NULL,"0","0","2","5",NULL,NULL,"Deutsche Statslehre für Gebildete",NULL,NULL,NULL,NULL,"author: Bluntschli, Johann Casparsubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
