"id","author_id","bibliography","transcript","token_sequence","token","author_name"
"1","224","106","5","1","[...] daβ esferne von uns liegt, [...] Euch zu zwingen freue Republikaner zu werden, wenn Ihr Unterthanen bleiben willt.“ (citing Herwegh 20:21-22)",NULL
"2","224","106","5","2","Germans in France and Switzerland and the German people (citing Herwegh 19:7-8)",NULL
"3","224","106","5","3","„[...] das gröβere Publikum über die wahren Intentionen der deutschen, demokratischen Legion zu unterrichte, und den Verläumdungen, zu deren Hauptzielscheibe sich deutsche Patrioten Herwegh ausersehen, durch die ungeschminkte Wahrheit, die einzige würdige, einzige vernichtende Waffe entgegenzusetzen.“ (52:10-15)",NULL
"4","224","106","5","4","„Sie konnten nicht begreifen, daβ trotz der Gleichheit der Gesinnung, der Unterschied der Kleidung genügen würde [...] unser ganzes Unternehmen scheitern zu machne.“ (16:19-22)",NULL
"5","224","106","5","5","„die fremde Horde, die Räuberbande aus Frankreich“ (16:31-32)",NULL
"6","224","106","5","6","„Wir gedachten niemals als Feinde auf deutschen Boden zu treten, niemals Euch die Freiheit aufzudringen, niemals Euren freien Willen zu beschränken, noch Euer Eigenthum anztasten.“ (citing Herweg (19:39-40; 20:1-2)",NULL
"7","224","106","5","7","Herwegh as „glänzendes Aushängeschild benutzen wollten. „ (54:2)",NULL
"8","224","106","5","8","„Gerüchte“(15:16)",NULL
"9","224","106","5","9","„lügenhafte Berichten“ (16:37) „[...] – aber die Mehrzal [...] glaubt ja viel lieber an das Schlechte, [...]“ (16:38-39)",NULL
"10","224","106","5","10","„wahren Intentionen der Legion“ (19:4) following a proclamation of Georg Hewegh.",NULL
"11","224","106","5","11","documents are prepared for tactical reasons and published according the outcome of an event (27:1-10)",NULL
"12","224","106","5","12","Neutrality as a tactical tool (26:20-30) ",NULL
"13","224","106","5","13","“das wahre Ziel unseres Wirkens” (28:1) “im Namen der Freiheit” (28:7) ",NULL
"14","224","106","5","14","„von falschen Gerüchten wimmelt“ (29:5)",NULL
"15","224","106","5","15","Emma’s authority „[...] die Herwegh vom Anfang bis zum Schluβ der Expedition keinen Augenblick aus den Augen verloren und Zeuge jedes Wortes gewesen war, das er gesprochen hatte.“ (52:18-21)",NULL
"16","224","106","5","16","„nicht jeder Mensch kann wahr sein.“ (53:2)",NULL
"17","224","106","5","17","considering the geopolitical situation: „Der andern Mächte! als wenn für Republikaner eine andere als die Volkssouverainität existire“ (27:21-23)",NULL
"18","224","106","5","18","„Hinaus! in diesem stürmischen Ruf lag aller Verstand“ (15:3) „[...] Deutsche die aus dem reiflichen Ueberlegen nicht selten ihr Métier machen,[...]“ (15:5-6)",NULL
"19","224","106","5","19","„Der Unverstand ist aber zuweilen gar reitzend, mir wenigstens gefällt er recht gut, [...]“ (15:10-11)",NULL
"20","224","106","5","20","„Die wenigsten Menschen wollen ja dasselbe, oder wollen überhaupt etwas Bestimmtes und nur eine sehr kleine Zahl will wirklich die Freiheit, [...]“ (14: 6-8)",NULL
"21","224","106","5","21","„Armee der Freiheit“ (citing Herwegh 20:8-9)",NULL
"22","224","106","5","22","„Freiheitsarmee“ (citing Herwegh 20:32)",NULL
"23","224","106","5","23","peace cannot be bought (26:12-29)",NULL
"24","224","106","5","24","„Nichts als der Widerschein des groβen Weltbrandes war, den Frankreich angezündet.“ (28:19-20)",NULL
"25","224","106","5","25","„das eine groβe Ziel: die Freiheit Aller vor Augen“ (35:34-35)",NULL
"26","224","106","5","26","„[...] Wer besagt Offizier dies auβerordentliche Vollmacht erteilt!“ (51:34-35)",NULL
"27","224","106","5","27","„so fällt immer die Verantwortlichkeit auf den Führer, gleichviel, ob er sich um die Stelle beworben, sie aus Neigung oder nur aus Selbstverleugnung angenommen – [...]“ (13:33-35)",NULL
"28","224","106","5","28","„Darum wehe denen, die regiert werden, aber nicht minder beklagenswerth die, welche regieren, [...]“ (13:41-42)",NULL
"29","224","106","5","29","„Herwegh dem die politische Leitung der Expedition oblag, [...]“ (18:43-19:1) „[...] daβ Herwegh mit den militairischen Anordnungen gar nichts zu thun hatte - “ (21:21-22)",NULL
"30","224","106","5","30","„[...] schien ich [Emma] ihm [Georg] der geeignetste Emissair, und so reiste ich nach Mannheim ab.“ (21:37-38)",NULL
"31","224","106","5","31","„Aber wen schicken wir nun? [...] Mich, meine Herren[...]. Mich lässt man überall passieren.“ (29:11-17)",NULL
"32","224","106","5","32","„daβ er es seine Pflicht hielt, ihrem einstimmigen Wunsche nachzugeben“ (13:30)",NULL
"33","224","106","5","33","„Herwegh [...] keine Illusionen, er war sich der Verantwortlichkeit, welche er übernahm, sehr wohl bewuβt.“ (13:43; 14:1)",NULL
"34","224","106","5","34","„[...] und durfete die Liebe, die man ihm zollte, als ein freies Geschenk hinnehmen, das dem Geber eben so zur Ehre gereicht, als dem, der es empfing.“ (35:39-41)",NULL
"35","224","106","5","35","„[...] das Opfer, [...] indem er statt den eigenen Weg [...], sich dem Willen so Vieler anschloβ und theilweis unterordnete, kein geringes.“ (14:3-5)",NULL
"36","224","106","5","36","„[...] auf den Barrikaden [...] gesehen, gefühlt was ein Volk vermag und zweifelten keinen Augenblick“ (13:10-13)",NULL
"37","224","106","5","37","„Erfahrung einer Revolution“ (citing Herwegh 18:18) ",NULL
"38","224","106","5","38","the revolution as „ein groβes Fest“ (22:34) „Freiheitsbaum“ (22:34)",NULL
"39","224","106","5","39","Revolution as an adventure (32)",NULL
"40","224","106","5","40","„äussere politische Verhältnisse [...] tägliche Nachrichten aus der Heimath,[...]“ (13:3-4)",NULL
"41","224","106","5","41","Hecker cannot call for Herwegh’s legion (32:36-40)",NULL
