"id","domain","concern","issue","description"
"1","1","1","Fate",NULL
"2","1","1","Prediction",NULL
"3","1","1","Interdiction",NULL
"4","1","1","Destiny",NULL
"5","1","2","Fact",NULL
"6","1","2","Security",NULL
"7","1","2","Threat",NULL
"8","1","2","Fantasy",NULL
"9","1","3","Openness",NULL
"10","1","3","Delay",NULL
"11","1","3","Choice",NULL
"12","1","3","Preconception",NULL
"13","1","4","Work",NULL
"14","1","4","Attraction",NULL
"15","1","4","Repulsion",NULL
"16","1","4","Attempt",NULL
"17","2","5","Instinct",NULL
"18","2","5","Senses",NULL
"19","2","5","Interpretation",NULL
"20","2","5","Conditioning",NULL
"21","2","6","Wisdom",NULL
"22","2","6","Skill",NULL
"23","2","6","Experience",NULL
"24","2","6","Enlightenment",NULL
"25","2","7","Approach",NULL
"26","2","7","Self Interest",NULL
"27","2","7","Morality",NULL
"28","2","7","Attitude",NULL
"29","2","8","Prerequisites",NULL
"30","2","8","Strategy",NULL
"31","2","8","Analysis",NULL
"32","2","8","Preconditions",NULL
"33","3","9","State of Being",NULL
"34","3","9","Situation",NULL
"35","3","9","Circumstances",NULL
"36","3","9","Sense of Self",NULL
"37","3","10","Knowledge",NULL
"38","3","10","Ability",NULL
"39","3","10","Desire",NULL
"40","3","10","Thought",NULL
"41","3","11","Rationalization",NULL
"42","3","11","Commitment",NULL
"43","3","11","Responsibility",NULL
"44","3","11","Obligation",NULL
"45","3","12","Permission",NULL
"46","3","12","Need",NULL
"47","3","12","Expediency",NULL
"48","3","12","Deficiency",NULL
"49","4","13","Truth",NULL
"50","4","13","Evidence",NULL
"51","4","13","Suspicion",NULL
"52","4","13","Falsehood",NULL
"53","4","14","Value",NULL
"54","4","14","Confidence",NULL
"55","4","14","Worry",NULL
"56","4","14","Worth",NULL
"57","4","15","Closure",NULL
"58","4","15","Hope",NULL
"59","4","15","Dream",NULL
"60","4","15","Denial",NULL
"61","4","16","Investigation",NULL
"62","4","16","Appraisal",NULL
"63","4","16","Reappraisal",NULL
"64","4","16","Doubt",NULL
