"code_id","code_name","subcat4_name","subcat3_name","subcat2_name","subcat1_name","catcode_name","code_item","code_description"
1,"invivo",,,,"invivo","invivo",,"invivo coding"
2,"chronology",,,,"invivo","invivo",,"data related to chronology; dates, days; daytimes, etc."
3,"persons",,,,"invivo","invivo",,"persons, names, nicknames"
4,"places",,,,"invivo","invivo",,"places, locations in general"
5,"comments",,,,"invivo","invivo",,"free comments for further evaluation"
6,"Protagonist","Characters","Storyforming",,"Story Forming","dramatica",,
7,"Antagonist","Characters","Storyforming",,"Story Forming","dramatica",,
8,"Sidekick","Characters","Storyforming",,"Story Forming","dramatica",,
9,"Skeptic","Characters","Storyforming",,"Story Forming","dramatica",,
10,"Emotion","Characters","Storyforming",,"Story Forming","dramatica",,
11,"Reason","Characters","Storyforming",,"Story Forming","dramatica",,
12,"Guardian","Characters","Storyforming",,"Story Forming","dramatica",,
13,"Contagonist","Characters","Storyforming",,"Story Forming","dramatica",,
14,"Resolve","MC Choices","Plot",,"Story Forming","dramatica",,
15,"Growth","MC Choices","Plot",,"Story Forming","dramatica",,
16,"Approach","MC Choices","Plot",,"Story Forming","dramatica",,
17,"Problem-Solving","MC Choices","Plot",,"Story Forming","dramatica",,
18,"Driver","Plot Choices","Plot",,"Story Forming","dramatica",,
19,"Limit","Plot Choices","Plot",,"Story Forming","dramatica",,
20,"Outcome","Plot Choices","Plot",,"Story Forming","dramatica",,
21,"Judgement","Plot Choices","Plot",,"Story Forming","dramatica",,
22,"OS Throughline","Theme Choices","Plot",,"Story Forming","dramatica",,
23,"OS Concern","Theme Choices","Plot",,"Story Forming","dramatica",,
24,"OS Issue","Theme Choices","Plot",,"Story Forming","dramatica",,
25,"OS Problem","Theme Choices","Plot",,"Story Forming","dramatica",,
26,"Throughline Illustration","Illustrating","Plot",,"Story Forming","dramatica",,
27,"Character Illustration","Illustrating","Plot",,"Story Forming","dramatica",,
28,"Plot Illustration","Illustrating","Plot",,"Story Forming","dramatica",,
29,"OS Theme","Theme Development","Plot",,"Story Forming","dramatica",,
30,"MC Theme","Theme Development","Plot",,"Story Forming","dramatica",,
31,"IC Theme","Theme Development","Plot",,"Story Forming","dramatica",,
32,"M/I Theme","Theme Development","Plot",,"Story Forming","dramatica",,
33,"Backstory","Theme Development","Plot",,"Story Forming","dramatica",,
34,"Resolve","Dynamics","Genre Points",,"Story Points","dramatica",,"the ultimate disposition of the Main Character to Change or Remain Steadfast"
35,"Growth","Dynamics","Genre Points",,"Story Points","dramatica",,"the Main Character's growth toward an ending or beginning"
36,"Approach","Dynamics","Genre Points",,"Story Points","dramatica",,"the Main Character's preference for external or internal problem solving techniques"
37,"Problem-Solving Style","Dynamics","Genre Points",,"Story Points","dramatica",,"the Main Character's tendency toward linear or holistic problem solving"
