Comm ID,bio_author_id,author_id,agent_id,id,MemberID,selection_class,Agent type1,Agent type2,type2description,img,gender,code,last_name,first_name,other_name,,born,formula1,birthday,birth_location,,died,formula1,deathday,death_location,workplace,knows,shortbio,link,data_evaluation,authority_organization,authority_record,CrossReference,Medien,Schulwesen,Kirche,Glaubenskommittee,Jurisprudenz,Finanz,Verwaltungsdienst,Berufliches Gewicht,Militärischer Rang,Militärisches Gewicht,Ausl. Dienste,Tagsatzungsgesander,Int. Beziehungen,Bundesrat,Nationalrat,Regierungsrat,Ständerat,Kantonsparlament,Bürgermeister,Stadthalter,Zürcher Stadtrat,Kleiner Rat,Grosser Rat,Constaffel,Landammann,Landvogt,Pol. Gewicht,GESAMT SOZ. EINFLUSS,friends,born,died,age 1839,education,wealth (poor 1-rich 5), religion,ethnicity,special,comments,,political party,personality,mood/emotions, intelligence,values/stereotypes, general attitude,experience,knowledge,communication,intervention,literature,,
1,1,1,1,1,AbYJP1767,2,1,2,contemporary,,1,AbYJP,Ab Yberg,Josef Plazid,,,1767,-01-01 00:00:00,1767-01-01 00:00:00,,,1824,-01-01 00:00:00,1824-01-01 00:00:00,,,,"1781 als Kadett Eintritt in sardin. Dienste, 1786 Aidemajor im Regiment de Kalbermatten, 1791 von Kg. Viktor Amadeus III. von Sardinien in den Freiherrenstand erhoben, 1796-98 Oberstleutnant im Regiment Peyer im Hof. In franz. Diensten ab 1798 Bataillonskommandant der 1. helvet. Legion, 1800 der 3. Halbbrigade, 1804 Oberstleutnant der franz. Armee, Kommandant der Insel Capraia vor Genua, 1806 Grossmajor im 1., 1812 Oberst im 2. Schweizerregiment Napoleons. 1808-11 an den Feldzügen in Italien und nach Neapel beteiligt. 1813-15 Kommandant der halben Schweizerbrigade in Holland, General bei der Belagerung von Wesel und Maastricht. Ab 1815 wieder in Schwyz. Eidg. Oberst und Brigadekommandant bei der Grenzbesetzung, 1815-19 wiederum in franz. Diensten. 1811 Ritter des neapolitan. Ordens beider Sizilien, 1814 des franz. St.-Ludwigs-Ordens, Offizier der franz. Ehrenlegion.",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,2,2,AvYT1795,2,1,2,contemporary,,1,AvYT,Ab Yberg,Theodor,,,1795,-01-01 00:00:00,1795-01-01 00:00:00,,,1869,-01-01 00:00:00,1869-01-01 00:00:00,,,,"A.s militär. Laufbahn begann 1815 an der Grenzbesetzung in der Westschweiz. Nach der Rückkehr aus franz. Diensten (ab 1815 Offizier) wurde er 1823 eidg. Stabsoffizier im Range eines Oberstleutnants, 1831 zum eidg. Obersten befördert. 1833 kommandierte er die Schwyzertruppen im Zug nach Küssnacht (SZ) und wiederum 1844-45 gegen die Luzerner Freischaren. 1847 war er Kriegsrat der Sonderbundsarmee und Kommandant der 2. Sonderbundsdivision. Die Wahl zum Kantonsrichter 1824 stand am Anfang seiner polit. Karriere in Schwyz: 1826 Ratsherr, 1830-33 Bezirksstatthalter, 1830-34 Landesstatthalter, 1832 und 1841-46 Tagsatzungsgesandter, 1833-34 Bezirksammann, 1833-47 Mitglied des Gr. Rats, des Kantonsrats und der Regierungskomm., 1834-36, 1838-40, 1842-44 und 1846-47 Landammann. 1835 war er Initiant für die Berufung der Nuntiatur nach Schwyz, 1836 für die Errichtung des Jesuitenkollegiums in Schwyz. 1841 tat er sich als Gegner der Aufhebung der aarg. Klöster hervor. Vom Papst 1839 zum Ritter und 1842 zum Komtur des St. Gregoriusordens ernannt, wurde er 1846 in den erbl. Grafenstand erhoben. A. beteiligte sich in den Verfassungs- und Trennungswirren im Kt. Schwyz 1830-33 massgebl. an den Bestrebungen, vorrevolutionäre Verhältnisse wiederherzustellen. Im Hörner- und Klauenstreit (1838) vertrat er ebenfalls als einer der Führer der Hornmänner die Konservativen. Ohne den Kampf gegen den Radikalismus aufzugeben, hatte er aber sein früheres polit. Denken geändert, zugunsten von Frieden, Ordnung und Zusammenarbeit im ganzen Kt. Der beim Volk sehr beliebte A. war am Sonderbundskrieg als Landammann und Kommandant führend beteiligt, verlor aber nach der Niederlage seine Ämter und ging 1848-51 ins Exil nach Österreich. Er gehört zu den bedeutendsten Gestalten der schwyzer. Gesch. des 19. Jh.",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,3,3,3,AbJ1723,2,1,3,historical,,1,AbJ,Abraham,Jakob,,,1723,-01-01 00:00:00,1723-01-01 00:00:00,,,1800,-01-01 00:00:00,1800-01-01 00:00:00,Berlin,Strelitz,,Seidenfabrikant in Zürich,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,4,4,4,AfC1772,2,1,2,contemporary,,1,AfC,Affry,"Charles, d'",,,1772,-01-01 00:00:00,1772-01-01 00:00:00,,,1818,-01-01 00:00:00,1818-01-01 00:00:00,"Fribourg, Switzerland","Fribourg, Switzerland",,Swiss coronel during the Russian Campaign.,,4,HLS,D23245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,5,5,5,dAfLAFF1743,2,1,3,historical,,1,dAfLAFF,Affry,"Louis Auguste Philippe Frédéric François, d'",,,1743,-01-01 00:00:00,1743-01-01 00:00:00,,,1810,-01-01 00:00:00,1810-01-01 00:00:00,,,,"Erster Landamman der Schweiz unter der ""Schweizerischen Eigenossenschaft"" Napoleons (Mediationsakte)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,6,6,6,AlU1942,3,1,5,historiographer,,1,AlU,Altermatt,Urs,,,1942,-01-01 00:00:00,1942-01-01 00:00:00,,,0,-01-01 00:00:00,,,,,"According to Guido Stucki Paul König writes a historiography in two parts Die Schweiz im Lichte der Geschichtsschreibung [Switzerland in the light of historiography] (König, 1966)and Die Schweiz unterwegs 1798-? [Switzerland on her way 1798-?] (König, 1969), oriented towards the general public. True to the title of the first book, he gives voice to a large number of historiographers of the 19th and 20th century. Beyond professional historians he includes legal scholars and politicians dedicated to history writing.",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,7,7,7,AlJG1685,3,1,5,historiographer,,1,AlJG,Altmann,Johann-Georg,,,1685,-01-01 00:00:00,1685-01-01 00:00:00,,,1758,-01-01 00:00:00,1758-01-01 00:00:00,,,,resumes Ruchat and Stanyan in his publication under the title «L'Etat et les délices de la Suisse» - this is an example vs. the myth of a strict separation of a romanic and a germanic Switzerland and a « Germanic » culture of the German speaking part.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,8,8,8,AmJK1803,1,1,2,contemporary,,1,AmJK,Ammann,Johann Kaspar,,,1803,-01-01 00:00:00,1803-01-01 00:00:00,Hard (ZH),,1870,-01-01 00:00:00,1870-01-01 00:00:00,,,,Oberrichter,,1,,,,,,,,,,"1831-33 Bezirksrichter, 1833-62 Oberrichter, 1851 Obergerichtspräs.  1840-62 wesentl. Leistung als Mitglied der Gesetzesrevisionskomm.",,,1,,0,,,0,,,,April-Aug. 1849 Ständerat.,,,,,,1832-62 Zürcher Grossrat,,,,2,3,,36,Keine akadem. Ausbildung.,4,protestant,,A. gehörte als Liberaler der Richtung Alfred Eschers an.,,,liberal radical,,,,,,,,,,,,
1,9,9,9,9,AmJFK1800,2,1,2,contemporary,,1,AmJFK,Amrhyn,Josef Franz Karl,Josef Franz von Sales Johann Baptist Karl Nikolaus von Flüe Amrhyn,,1800,-01-01 00:00:00,1800-01-01 00:00:00,,,1849,-01-01 00:00:00,1849-01-01 00:00:00,Luzern,Luzern,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,10,10,Anderwerth1828,2,1,2,contemporary,,1,Anderwerth,Anderwerth,Joseph Fridolin,,,1828,-01-01 00:00:00,1828-01-01 00:00:00,,,1880,-01-01 00:00:00,1880-01-01 00:00:00,Bern,Frauenfeld,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
