"id","memberID","img","groupID","selection_class","agenttype1","agenttype2","gender","last_name","first_name","other_name","birthday","birth_location_map","deathday","death_location","workplace","knows","shortbio","data_evaluation","authority_record","authority_organization","birth_location"
"1","AbYJP1767",NULL,NULL,"2","1","2","1","Ab Yberg","Josef Plazid",NULL,"1767-01-01 00:00:00",NULL,"1824-01-01 00:00:00",NULL,NULL,NULL,"1781 als Kadett Eintritt in sardin. Dienste, 1786 Aidemajor im Regiment de Kalbermatten, 1791 von Kg. Viktor Amadeus III. von Sardinien in den Freiherrenstand erhoben, 1796-98 Oberstleutnant im Regiment Peyer im Hof. In franz. Diensten ab 1798 Bataillonskommandant der 1. helvet. Legion, 1800 der 3. Halbbrigade, 1804 Oberstleutnant der franz. Armee, Kommandant der Insel Capraia vor Genua, 1806 Grossmajor im 1., 1812 Oberst im 2. Schweizerregiment Napoleons. 1808-11 an den Feldzügen in Italien und nach Neapel beteiligt. 1813-15 Kommandant der halben Schweizerbrigade in Holland, General bei der Belagerung von Wesel und Maastricht. Ab 1815 wieder in Schwyz. Eidg. Oberst und Brigadekommandant bei der Grenzbesetzung, 1815-19 wiederum in franz. Diensten. 1811 Ritter des neapolitan. Ordens beider Sizilien, 1814 des franz. St.-Ludwigs-Ordens, Offizier der franz. Ehrenlegion.","1",NULL,NULL,NULL
"2","AvYT1795",NULL,NULL,"2","1","2","1","Ab Yberg","Theodor",NULL,"1795-01-01 00:00:00",NULL,"1869-01-01 00:00:00",NULL,NULL,NULL,"A.s militär. Laufbahn begann 1815 an der Grenzbesetzung in der Westschweiz. Nach der Rückkehr aus franz. Diensten (ab 1815 Offizier) wurde er 1823 eidg. Stabsoffizier im Range eines Oberstleutnants, 1831 zum eidg. Obersten befördert. 1833 kommandierte er die Schwyzertruppen im Zug nach Küssnacht (SZ) und wiederum 1844-45 gegen die Luzerner Freischaren. 1847 war er Kriegsrat der Sonderbundsarmee und Kommandant der 2. Sonderbundsdivision. Die Wahl zum Kantonsrichter 1824 stand am Anfang seiner polit. Karriere in Schwyz: 1826 Ratsherr, 1830-33 Bezirksstatthalter, 1830-34 Landesstatthalter, 1832 und 1841-46 Tagsatzungsgesandter, 1833-34 Bezirksammann, 1833-47 Mitglied des Gr. Rats, des Kantonsrats und der Regierungskomm., 1834-36, 1838-40, 1842-44 und 1846-47 Landammann. 1835 war er Initiant für die Berufung der Nuntiatur nach Schwyz, 1836 für die Errichtung des Jesuitenkollegiums in Schwyz. 1841 tat er sich als Gegner der Aufhebung der aarg. Klöster hervor. Vom Papst 1839 zum Ritter und 1842 zum Komtur des St. Gregoriusordens ernannt, wurde er 1846 in den erbl. Grafenstand erhoben. A. beteiligte sich in den Verfassungs- und Trennungswirren im Kt. Schwyz 1830-33 massgebl. an den Bestrebungen, vorrevolutionäre Verhältnisse wiederherzustellen. Im Hörner- und Klauenstreit (1838) vertrat er ebenfalls als einer der Führer der Hornmänner die Konservativen. Ohne den Kampf gegen den Radikalismus aufzugeben, hatte er aber sein früheres polit. Denken geändert, zugunsten von Frieden, Ordnung und Zusammenarbeit im ganzen Kt. Der beim Volk sehr beliebte A. war am Sonderbundskrieg als Landammann und Kommandant führend beteiligt, verlor aber nach der Niederlage seine Ämter und ging 1848-51 ins Exil nach Österreich. Er gehört zu den bedeutendsten Gestalten der schwyzer. Gesch. des 19. Jh.","1",NULL,NULL,NULL
"3","AbJ1723",NULL,NULL,"2","1","3","1","Abraham","Jakob",NULL,"1723-01-01 00:00:00",NULL,"1800-01-01 00:00:00","Berlin","Strelitz",NULL,"Seidenfabrikant in Zürich","1",NULL,NULL,NULL
"4","AfC1772",NULL,NULL,"2","1","2","1","Affry","Charles, d'",NULL,"1772-01-01 00:00:00",NULL,"1818-01-01 00:00:00","Fribourg, Switzerland","Fribourg, Switzerland",NULL,"Swiss coronel during the Russian Campaign.","4","D23245","0",NULL
"5","dAfLAFF1743",NULL,NULL,"2","1","3","1","Affry","Louis Auguste Philippe Frédéric François",NULL,"1743-01-01 00:00:00",NULL,"1810-01-01 00:00:00",NULL,NULL,NULL,"Erster Landamman der Schweiz unter der ""Schweizerischen Eigenossenschaft"" Napoleons (Mediationsakte)","1",NULL,NULL,NULL
"6","AlU1942",NULL,NULL,"3","1","5","1","Altermatt","Urs",NULL,"1942-01-01 00:00:00",NULL,NULL,NULL,NULL,NULL,"According to Guido Stucki Paul König writes a historiography in two parts Die Schweiz im Lichte der Geschichtsschreibung [Switzerland in the light of historiography] (König, 1966)and Die Schweiz unterwegs 1798-? [Switzerland on her way 1798-?] (König, 1969), oriented towards the general public. True to the title of the first book, he gives voice to a large number of historiographers of the 19th and 20th century. Beyond professional historians he includes legal scholars and politicians dedicated to history writing.","1",NULL,NULL,NULL
"7","AlJG1685",NULL,NULL,"3","1","5","1","Altmann","Johann-Georg",NULL,"1685-01-01 00:00:00",NULL,"1758-01-01 00:00:00",NULL,NULL,NULL,"resumes Ruchat and Stanyan in his publication under the title «L'Etat et les délices de la Suisse» - this is an example vs. the myth of a strict separation of a romanic and a germanic Switzerland and a « Germanic » culture of the German speaking part.","1",NULL,NULL,NULL
"8","AmJK1803",NULL,NULL,"1","1","2","1","Ammann","Johann Kaspar",NULL,"1803-01-01 00:00:00",NULL,"1870-01-01 00:00:00",NULL,NULL,NULL,"Oberrichter","1",NULL,NULL,"Hard (ZH)"
"9","AmJFK1800",NULL,NULL,"2","1","2","1","Amrhyn","Josef Franz Karl","Josef Franz von Sales Johann Baptist Kar","1800-01-01 00:00:00",NULL,"1849-01-01 00:00:00","Luzern","Luzern",NULL,NULL,"1",NULL,NULL,NULL
"10","Anderwerth1828",NULL,NULL,"2","1","2","1","Anderwerth","Joseph Fridolin",NULL,"1828-01-01 00:00:00",NULL,"1880-01-01 00:00:00","Bern","Frauenfeld",NULL,NULL,"1",NULL,NULL,NULL
