"id","memberID","img","groupID","selection_class","agenttype1","agenttype2","gender","last_name","first_name","other_name","birthday","birth_location","birth_location_map","deathday","death_location","workplace","knows","shortbio","data_evaluation","authority_record","authority_organization"
"1","AbYJP1767","","","2","Person","Contemporary","male","Ab Yberg","Josef Plazid","","01/01/1767 00:00","","","01/01/1824 00:00","","","","1781 als Kadett Eintritt in sardin. Dienste, 1786 Aidemajor im Regiment de Kalbermatten, 1791 von Kg. Viktor Amadeus III. von Sardinien in den Freiherrenstand erhoben, 1796-98 Oberstleutnant im Regiment Peyer im Hof. In franz. Diensten ab 1798 Bataillonskommandant der 1. helvet. Legion, 1800 der 3. Halbbrigade, 1804 Oberstleutnant der franz. Armee, Kommandant der Insel Capraia vor Genua, 1806 Grossmajor im 1., 1812 Oberst im 2. Schweizerregiment Napoleons. 1808-11 an den Feldzügen in Italien und nach Neapel beteiligt. 1813-15 Kommandant der halben Schweizerbrigade in Holland, General bei der Belagerung von Wesel und Maastricht. Ab 1815 wieder in Schwyz. Eidg. Oberst und Brigadekommandant bei der Grenzbesetzung, 1815-19 wiederum in franz. Diensten. 1811 Ritter des neapolitan. Ordens beider Sizilien, 1814 des franz. St.-Ludwigs-Ordens, Offizier der franz. Ehrenlegion.","","",""
"2","AvYT1795","","","2","Person","Contemporary","male","Ab Yberg","Theodor","","01/01/1795 00:00","","","01/01/1869 00:00","","","","A.s militär. Laufbahn begann 1815 an der Grenzbesetzung in der Westschweiz. Nach der Rückkehr aus franz. Diensten (ab 1815 Offizier) wurde er 1823 eidg. Stabsoffizier im Range eines Oberstleutnants, 1831 zum eidg. Obersten befördert. 1833 kommandierte er die Schwyzertruppen im Zug nach Küssnacht (SZ) und wiederum 1844-45 gegen die Luzerner Freischaren. 1847 war er Kriegsrat der Sonderbundsarmee und Kommandant der 2. Sonderbundsdivision. Die Wahl zum Kantonsrichter 1824 stand am Anfang seiner polit. Karriere in Schwyz: 1826 Ratsherr, 1830-33 Bezirksstatthalter, 1830-34 Landesstatthalter, 1832 und 1841-46 Tagsatzungsgesandter, 1833-34 Bezirksammann, 1833-47 Mitglied des Gr. Rats, des Kantonsrats und der Regierungskomm., 1834-36, 1838-40, 1842-44 und 1846-47 Landammann. 1835 war er Initiant für die Berufung der Nuntiatur nach Schwyz, 1836 für die Errichtung des Jesuitenkollegiums in Schwyz. 1841 tat er sich als Gegner der Aufhebung der aarg. Klöster hervor. Vom Papst 1839 zum Ritter und 1842 zum Komtur des St. Gregoriusordens ernannt, wurde er 1846 in den erbl. Grafenstand erhoben. A. beteiligte sich in den Verfassungs- und Trennungswirren im Kt. Schwyz 1830-33 massgebl. an den Bestrebungen, vorrevolutionäre Verhältnisse wiederherzustellen. Im Hörner- und Klauenstreit (1838) vertrat er ebenfalls als einer der Führer der Hornmänner die Konservativen. Ohne den Kampf gegen den Radikalismus aufzugeben, hatte er aber sein früheres polit. Denken geändert, zugunsten von Frieden, Ordnung und Zusammenarbeit im ganzen Kt. Der beim Volk sehr beliebte A. war am Sonderbundskrieg als Landammann und Kommandant führend beteiligt, verlor aber nach der Niederlage seine Ämter und ging 1848-51 ins Exil nach Österreich. Er gehört zu den bedeutendsten Gestalten der schwyzer. Gesch. des 19. Jh.","","",""
"3","AbJ1723","","","2","Person","Historical","male","Abraham","Jakob","","01/01/1723 00:00","","","01/01/1800 00:00","Berlin","Strelitz","","Seidenfabrikant in Zürich","","",""
"4","AfC1772","","","2","Person","Contemporary","male","Affry","Charles, d'","","01/01/1772 00:00","","","01/01/1818 00:00","Fribourg, Switzerland","Fribourg, Switzerland","","Swiss coronel during the Russian Campaign.","","D23245",""
"5","dAfLAFF1743","","","2","Person","Historical","male","Affry","Louis Auguste Philippe Frédéric François","","01/01/1743 00:00","","","01/01/1810 00:00","","","","Erster Landamman der Schweiz unter der ""Schweizerischen Eigenossenschaft"" Napoleons (Mediationsakte)","","",""
"6","AlU1942","","","3","Person","Historiographer","male","Altermatt","Urs","","01/01/1942 00:00","","","","","","","According to Guido Stucki Paul König writes a historiography in two parts Die Schweiz im Lichte der Geschichtsschreibung [Switzerland in the light of historiography] (König, 1966)and Die Schweiz unterwegs 1798-? [Switzerland on her way 1798-?] (König, 1969), oriented towards the general public. True to the title of the first book, he gives voice to a large number of historiographers of the 19th and 20th century. Beyond professional historians he includes legal scholars and politicians dedicated to history writing.","","",""
"7","AlJG1685","","","3","Person","Historiographer","male","Altmann","Johann-Georg","","01/01/1685 00:00","","","01/01/1758 00:00","","","","resumes Ruchat and Stanyan in his publication under the title «L'Etat et les délices de la Suisse» - this is an example vs. the myth of a strict separation of a romanic and a germanic Switzerland and a « Germanic » culture of the German speaking part.","","",""
"8","AmJK1803","","","1","Person","Contemporary","male","Ammann","Johann Kaspar","","01/01/1803 00:00","Hard (ZH)","","01/01/1870 00:00","","","","Oberrichter","","",""
"9","AmJFK1800","","","2","Person","Contemporary","male","Amrhyn","Josef Franz Karl","Josef Franz von Sales Johann Baptist Kar","01/01/1800 00:00","","","01/01/1849 00:00","Luzern","Luzern","","","","",""
"10","Anderwerth1828","","","2","Person","Contemporary","male","Anderwerth","Joseph Fridolin","","01/01/1828 00:00","","","01/01/1880 00:00","Bern","Frauenfeld","","","","",""
"11","AnMF1817","","","3","Person","Historiographer","female","Anneke","(Mathilde) Franziska","","01/01/1817 00:00","","","01/01/1884 00:00","Milwaukee","Hiddinghausen","","DE-USA – Catholic, Bürgerstochter – for the abolition of slavery and women’s rights – historiography Mutterland: Memoiren einer Frau aus dem badisch-pfälzischen Feldzuge (Anneke, 1982) – Politikverbot in Germany until 1908 (Gélieu, 2008)- Der politische Tendenz-Prozeß gegen Gottschalk, Anneke und Esser (Anneke, 1848) – first German women’s News Paper (Frauenzeitung), only 2 exemplary published (Henkel & Taubert, 1976)","","na",""
"12","ArFM1694","","","2","Person","Historiographer","male","Arouet ","François Marie ","Voltaire","01/01/1694 00:00","","","01/01/1778 00:00","France","France","","known as Voltaire Essai sur les mœurs(1756)  – French universal history - Essai sur les mœurs et l‘ésprit des nations – critical historiography","","",""
"13","AsL1814","","","3","Person","Historiographer","female","Aston","Louise","","01/01/1814 00:00","","","01/01/1871 00:00","na","na","","DE – “She served in the Freikorps in Schleswig during the war.” (Wikipedia) – a justification in the style of the Zurich men (Luise Aston, 1846) – historiography of the revolution (novel) (Luise Aston, 1849) – history in literary genre (Louise Aston, 1847, 1850)","","na",""
"14","BaNF1740","","","2","Person","Contemporary","male","Bachmann","Niklaus Franz, von","","01/01/1740 00:00","","","01/01/1831 00:00","","","","General, Eidgenössischer Oberbefehlshaber im Feldzug von 1815","","10671131",""
"15","BaFU1689","","","4","Person","Biographer","male","Balthasar","Franz Urs, von","","01/01/1689 00:00","Luzern","","01/01/1763 00:00","","","","Historiker (für Objektivität), für Bildung des Volkes,","","",""
"16","BaS1751","","","3","Person","Historiographer","female","Bandemer","Susanne, von","","01/01/1751 00:00","","","01/01/1828 00:00","na","na","","(French) revolution as self-preservation in Schreiben einer Mutter über die Revolution in Frankreich (von Bademer, 1791, 1821) in (Vahsen, 2000) (p.49)","","na",""
"17","BaeH1814","","","1","Person","Contemporary","male","Bär","Heinrich","","01/01/1814 00:00","Weisslingen","","","","","","hilft Eltern auf dem Heimwesen","","",""
"18","BaC1812","","","2","Person","Contemporary","male","Battaglini","Carlo","","01/01/1812 00:00","","","","","","","","","",""
"19","BaGJ1797","","","2","Person","Contemporary","male","Baumgartner","Gallus Jakob","","01/01/1797 00:00","Altstätten","","01/01/1869 00:00","St. Gallen","Altstätten","","Revolutionsführer in St. Gallen","","",""
"20","BeH1783","","","2","Person","Contemporary","female","Beauharnais","Hortense, de","","01/01/1783 00:00","Aarburg, Thurgau","","01/01/1837 00:00","Arenenberg, Thurgau, Switzerland","Paris, France","","Politischer Flüchtling aus Frankreich in Aarburg, Schwägerin Napoleons","","na",""
"21","BeMxxxx","","","3","Person","Historiographer","male","Beck","Marcel","","","","","","","","","“Entlarvung der Gründungsgeschichte der schweizerischen Eidgenossenschaft als Mythos des 19. Jahrhunderts” (Brändli, 2004)","","",""
"22","BeL1851§","","","2","Person","Contemporary","male","Begos","L.","","","","","","","","","Lieutenant-Colonel Louis Begos ancien capitaine-adjudant-major au deuxième régiment suisse au service de France","","na",""
"23","BeKAA1807","","","2","Person","Contemporary","male","Benary","Karl Albert Agathon","","01/01/1807 00:00","","","01/01/1861 00:00","","","","Professor Sprache","","",""
"24","BeDFA1755","","","3","Person","Historiographer","female","Berlepsch","Dorothea Friderika Aemilia, von","","01/01/1755 00:00","","","01/01/1830 00:00","na","na","","actually Dorothea Friderika Aemilia von Berlepsch (1755-1830) -  (1799) – the revolution of Switzerland not “ewigen Gesetzen treu” in (Epple, 2003) (p. 196) writes about „ ‚ganz auf natürliche[n] Grundsätze ruhende [...] Verfassung‘ der Schweizer Gesellschaft“ (Berlepsch, 1799; Berlepsch & Pan, 1799) in (Epple, 2003) (p. 196)  - „von einzelnen Machthabern verführtes Volk“ in (Vahsen, 2000)","","na",""
"25","BeEE1768","","","3","Person","Historiographer","female","Bernhardi","Elisabeth Eleonore","Philogyn","01/01/1768 00:00","","","01/01/1849 00:00","Freiberg","Freiberg","","","","na",""
"26","Be833*","","","2","Person","Historiographer","female","Berta","","","","","","","Zürich, Switzerland","Zürich, Switzerland","","Princess Abbess of the Imperial Abbey of Fraumünster (Zürich)","","81099071",""
"27","BeA1753","","","2","Person","Historical","male","Berthier","Louis Alexandre","","01/01/1753 00:00","Neuchatel","","01/01/1815 00:00","Bamberg","Versailles","","Napoleons Marchall in Neuenburg von 1806-1814","","",""
"28","BiAE1819","","","2","Person","Contemporary","male","Biedermann","Alois Emanuel","","01/01/1819 00:00","","","01/01/1885 00:00","","","","Sohn des Stadtrat Winterthur (1931)","","",""
"29","BiE1779","","","2","Person","Historical","male","Biedermann","Emanuel","","01/01/1779 00:00","Winterthur","","01/01/1836 00:00","","","","Stadrat Winterthur (1931)","","",""
"30","BlHWxxxx","","","3","Person","Historiographer","male","Blanke","Horst Walter","","","","","","","","","","","",""
"31","BlJ1799","","","1","Person","Contemporary","male","Bleuler","Jakob","","01/01/1799 00:00","Zollikon","","01/01/1839 00:00","","","","Taglöhner in Zürich","","",""
"32","BlS1829","","","2","Person","Contemporary","male","Bleuler","Salomon","","01/01/1829 00:00","","","01/01/1886 00:00","Winterthur, Switzerland","Zürich, Switzerland","","","","62765296",""
"33","BlWaH1869","","","2","Person","Contemporary","female","Bleuler-Waser","Hedwig","","01/01/1869 00:00","","","01/01/1940 00:00","Zollikon","Zürich","","","","na",""
"34","BlMLB1886","","","4","Person","Biographer","male","Bloch","Marc Léopold Benjamin","","01/01/1886 00:00","","","01/01/1944 00:00","","","","Historiker der Annales school","","",""
"35","BlBoR1880","","","2","Person","Historical","female","Bloch-Bollarg","Rosa","","01/01/1880 00:00","","","01/01/1922 00:00","Zürich","Zürich","","","","na",""
"36","BlR1807","","","2","Person","Sample","male","Blum","Robert   ","","01/01/1807 00:00","","","01/01/1848 00:00","Vienna, Austria","Cologne, Germany","","German democratic politician, publicist, pot, publisher, revolutionist and member of the National Aseembly of 1848.","","",""
"37","BlHH1656","","","3","Person","Historiographer","male","Bluntschli","Hans Heinrich","","01/01/1656 00:00","","","01/01/1722 00:00","","","","in «Memorabilia Tigurina» (1704)  extendes origin of Zurich to times of Abraham (2000 b. Chr.) 1200 years before Rome and founded (refounded) by prominent figures like Cesar and Charlmagne","","",""
